state,totarea_ac,totareapub_ac,pct,state_rank,,,,,,,,,,,,,
AK,"365,039.40","325,700.00",89.22,1,"219,900.00",60.24,2,"105,800.00",28.98,2,"69,711.00","22,219.00","52,709.00","75,261.00",19,"2,100.00",86.8
AL,"32,480.00","1,235.91",3.81,41,840.11,2.59,33,395.8,1.22,35,110.92,665.03,6.5,57.66,43.43,168.11,0.2
AR,"33,328.00","3,949.90",11.85,22,"3,297.40",9.89,17,652.5,1.96,30,291.17,"2,586.07",101.4,318.76,518.44,93.32,0
AZ,"72,730.90","38,978.89",53.59,6,"29,894.99",41.1,6,"9,083.90",12.49,6,"14,249.14","11,254.99","2,672.60","1,718.26",98.79,"1,590.16","19,866.20"
CA,"99,822.70","42,288.38",42.36,7,"40,044.78",40.12,7,"2,243.60",2.25,29,"14,567.66","20,697.51","4,574.60",205.01,89.5,"3,525.91",520.9
CO,"66,387.20","26,458.89",39.86,9,"23,541.19",35.46,8,"2,917.70",4.39,24,"8,354.66","14,509.18",596.7,80.65,37,477.45,795.2
CT,"3,100.80",179.69,5.79,34,6.79,0.22,50,172.9,5.58,17,0,0.02,6,0.77,7.01,2.08,1.6
DE,"1,251.20",88.18,7.05,30,27.28,2.18,34,60.9,4.87,21,0,0,0,27.28,3.88,0,
FL,"34,558.10","9,069.36",26.24,14,"4,332.56",12.54,15,"4,736.80",13.71,4,25.28,"1,152.82","2,320.10",834.36,53.56,683.29,154.2
GA,"37,068.20","1,734.59",4.68,40,"1,384.89",3.74,29,349.7,0.94,40,0,865.08,40.8,479.01,336.3,568.09,0
HI,"4,110.70",549.08,13.36,21,524.88,12.77,14,24.2,0.59,43,0,0.01,235.4,289.47,230.54,0,
IA,"35,760.00",370.74,1.04,49,104.34,0.29,47,266.4,0.74,41,0.39,0,1.7,102.25,141.64,19.36,3.6
ID,"52,960.60","35,244.80",66.55,4,"32,496.40",61.36,4,"2,748.40",5.19,19,"11,850.00","20,458.28",99.2,88.92,56.07,8.69,642.2
IL,"35,579.50",836.78,2.35,44,430.88,1.21,40,405.9,1.14,37,0.23,292.73,0.01,137.91,217.52,43.35,0
IN,"22,956.80",522.35,2.28,46,216.65,0.94,43,305.7,1.33,35,0,196.49,10.3,9.86,124.34,144.26,0
KS,"52,366.70",479.5,0.92,50,167.2,0.32,46,312.3,0.6,42,0,108.18,0.7,58.32,338.38,134.34,7.2
KY,"25,428.50",899.8,3.54,42,789.3,3.1,32,110.5,0.43,47,0,693.75,93.4,2.15,351.13,229.89,0
LA,"27,882.20","2,131.70",7.65,28,"1,387.10",4.97,26,744.6,2.67,27,309.61,604.21,10.1,463.18,35.8,241.38,0.4
MA,"5,016.30",277.85,5.54,35,45.95,0.92,44,231.9,4.62,22,0,0,33.2,12.75,20.14,19.39,0.2
MD,"6,256.00",428.98,6.86,32,84.58,1.35,38,344.4,5.51,18,0,0,41.7,42.88,7.96,102.56,0
ME,"19,753.60","1,059.46",5.36,37,170.26,0.86,45,889.2,4.5,23,0,53.04,69.3,47.92,16.98,163.6,
MI,"36,357.80","8,168.77",22.47,15,"3,679.97",10.12,16,"4,488.80",12.35,7,74.85,"2,857.66",632.1,115.36,0.49,4.28,5.1
MN,"50,954.90","8,952.02",17.57,17,"3,572.92",7.01,20,"5,379.10",10.56,9,151.25,"2,837.65",141.6,442.42,31.35,2.92,728.8
MO,"44,094.70","2,655.01",6.02,33,"1,625.41",3.69,30,"1,029.60",2.33,28,2.26,"1,492.92",63.4,66.83,497.84,73.05,0
MS,"30,025.00","1,653.47",5.51,36,"1,544.97",5.15,25,108.5,0.36,48,57.21,"1,158.97",107.9,220.89,387.34,28.92,20.7
MT,"93,155.80","32,473.22",34.86,12,"27,276.82",29.28,10,"5,196.40",5.58,16,"8,036.01","16,893.50","1,221.30","1,126.01",390.17,3.75,"2,683.20"
NC,"31,179.50","2,180.47",6.99,31,"2,044.47",6.56,23,136,0.44,46,0,"1,244.30",380.5,419.67,87.34,329.24,56.6
ND,"44,156.20","2,187.41",4.95,39,"1,375.31",3.11,31,812.1,1.84,31,59.72,"1,105.77",71.6,138.22,470.19,11.66,214.6
NE,"49,201.90",785.76,1.6,48,538.86,1.1,41,246.9,0.5,44,6.58,352.09,5.9,174.29,44.57,14.04,23.8
NH,"5,740.20",908.41,15.83,19,744.21,12.96,13,164.2,2.86,26,0,728.15,10.2,5.86,18.82,6.61,0
NJ,"4,748.20",840.98,17.71,16,101.08,2.13,35,739.9,15.58,3,0,0,35.2,65.88,62.71,0,
NM,"77,673.60","31,554.72",40.62,8,"22,854.72",29.42,9,"8,700.00",11.2,8,"12,770.81","9,326.79",372.9,384.22,33.74,"2,384.89","7,522.60"
NV,"70,275.80","56,972.28",81.07,2,"56,846.08",80.89,1,126.2,0.18,50,"47,854.50","5,832.77",777,"2,381.81",282.67,"1,152.00",
NY,"30,223.40","11,174.55",36.97,10,79.55,0.26,48,"11,095.00",36.71,1,0,16.18,36.4,26.97,5.9,137.78,118.2
OH,"26,209.90",678.66,2.59,43,256.96,0.98,42,421.7,1.61,32,0,229.84,18.8,8.32,96.49,34.39,0
OK,"43,954.60","1,006.75",2.29,45,571.35,1.3,39,435.4,0.99,39,2.17,397.13,9.9,162.15,791.01,153.25,99.1
OR,"61,441.90","19,403.60",31.58,13,"16,407.70",26.7,12,"2,995.90",4.88,20,16.222.82,"15,657.82",194.9,554.98,114.68,21.05,660.7
PA,"28,684.80","4,228.29",14.74,20,571.69,1.99,36,"3,656.60",12.75,5,0,513.36,48.5,9.83,103.9,43.46,0
RI,668.8,61.16,9.14,26,1.66,0.25,49,59.5,8.9,12,0,0,0,1.66,1.68,1.8,
SC,"19,271.00","1,000.42",5.19,38,794.22,4.12,28,206.2,1.07,38,0,613.17,26.3,154.75,149.71,100.47,0
SD,"48,574.70","3,659.78",7.53,29,"3,569.88",7.35,19,89.9,0.19,49,279.67,"2,012.43",263.6,"1,014.18",614.49,6.44,"2,401.10"
TN,"26,380.80","2,814.75",10.67,23,"1,092.75",4.14,27,"1,722.00",6.53,14,0,634.52,344.1,114.13,181.78,79.02,0
TX,"167,625.00","3,216.40",1.92,47,"2,391.40",1.43,37,825,0.49,45,0,755.1,"1,172.60",463.7,945.87,"1,484.60",4.6
UT,"52,587.50","37,019.77",70.4,3,"33,194.97",63.12,3,"3,824.80",7.27,13,"22,882.95","8,178.60","2,022.60",110.82,851.46,"2,286.50",
VA,"25,342.70","2,449.87",9.67,25,"2,102.97",8.3,18,346.9,1.37,34,0,"1,660.43",319.2,123.34,132.83,273.99,0
VT,"5,919.40",486.17,8.21,27,390.97,6.6,22,95.2,1.61,33,0,376.25,8.3,6.42,5.75,0.24,0
WA,"42,612.50","15,513.50",36.41,11,"11,648.40",27.34,11,"3,865.10",9.07,11,372.45,"9,214.45","1,932.40",129.1,78.39,499.82,"2,101.00"
WI,"34,761.00","5,633.61",16.21,18,"1,987.71",5.72,24,"3,645.90",10.49,10,160.14,"1,522.52",72.7,232.35,23.11,135.37,338.1
WV,"15,415.70","1,530.00",9.92,24,"1,080.80",7.01,21,449.2,2.91,25,0,"1,032.74",46.3,1.76,139.74,0.69,0
WY,"62,147.20","33,964.23",54.65,5,"30,099.43",48.43,5,"3,864.80",6.22,15,"18,375.57","9,237.62","2,393.20",93.04,5.94,"1,909.40",
